time,open,high,low,close,Volume,Volume MA,Developing Poc,Developing VA High,Developing VA Low,Futures Open Interest,Crypto Open Interest (Ouverture),Crypto Open Interest (Haut,Crypto Open Interest (Bas),Crypto Open Interest (Fermeture)
1625328000,34592.56,34948.16,34469.26,34717.99,66948.622,109436.41615000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625342400,34718,34899.7,34251,34652.94,83066.499,106824.56925000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625356800,34653.32,34777.72,34340.75,34623.82,59271.078,104679.56090000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625371200,34623.83,35731.3,34602.6,35565.98,113924.732,105384.98815000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625385600,35565.99,35660,35350.17,35492,67595.654,103867.20895000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625400000,35492.01,35556.51,35215,35486.35,65321.99,99519.27275000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625414400,35486.35,35683.84,35362.02,35553.72,54728.543,94395.10660000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625428800,35553.73,35955.55,35214.86,35280.16,90159.559,91443.36060000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625443200,35280.17,35281.55,34199.02,34345.63,144163.854,92661.32780000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625457600,34345.63,34409.48,34000,34237.24,111213.001,94095.79355000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625472000,34237.24,34538,33290,33363.31,152492.099,96169.68205000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625486400,33363.28,33759.91,33290,33575.23,113280.366,96137.37090000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625500800,33575.22,34259.68,33032,34098.7,132559.378,95794.02780000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625515200,34098.7,34199,33650.57,33672.72,83011.72,92807.68185000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625529600,33672.72,34145,33603.7,33896.83,73284.791,92292.69455000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625544000,33896.82,34948,33886.07,34853.46,111744.061,94168.25420000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625558400,34853.46,35120,33700,34037,174581.567,99625.42935000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625572800,34037.01,34501.3,33760,34031.17,136433.966,100798.03970000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625587200,34034.35,34200,33500,33999.39,96863.676,100396.79845000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625601600,33999.39,34357.11,33602.21,34206.01,51320.946,99098.30510000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625616000,34206,34570.46,33925,34434.87,67727.182,99137.23310000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625630400,34434.87,34905,34362.01,34699.66,86598.144,99313.81535000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625644800,34699.66,34988.88,34447.6,34824.32,88487.131,100774.61800000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625659200,34823.82,35089.56,34462.88,34534.9,87052.203,99430.99155000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625673600,34534.89,34770,34406.41,34610.55,48577.531,98480.08540000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625688000,34610.56,34610.56,33756.48,33845.64,77776.718,99102.82180000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625702400,33845.63,33910,33046.7,33283.2,117424.181,102237.60370000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625716800,33282.69,33483.81,32216,32476.39,152017.44,105330.49775000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625731200,32473.66,32728,32066,32667.58,128590.715,104551.84080000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625745600,32667.17,32968,32326,32874.95,117392.758,104860.82865000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625760000,32874.95,33195,32620,32984.99,79995.543,101236.00085000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625774400,32984.99,33058.71,32500,32852.04,54897.027,98316.83390000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625788800,32855,33077.77,32250,32923.14,99747.005,96676.21525000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625803200,32923.15,33300,32720,32878.87,71773.243,96114.29140000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625817600,32878.58,33044.04,32588,32751.07,72623.82,96081.24285000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625832000,32751.07,33700,32615.1,33537.49,127581.305,96873.10505000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625846400,33537.49,33675.77,33254.26,33420.44,52500.933,90769.07335000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
